Weight (kg),Height (m),Animal
0.65,0.09,mouse
0.77,0.16,mouse
0.05,0.10,mouse
6960.88,2.67,elephant
0.57,0.07,mouse
0.32,0.08,mouse
6638.84,2.98,elephant
6077.11,3.19,elephant
4336.36,3.36,elephant
0.61,0.08,mouse
0.20,0.19,mouse
0.28,0.17,mouse
0.41,0.14,mouse
6139.88,3.41,elephant
0.12,0.13,mouse
6872.42,2.97,elephant
4542.37,3.96,elephant
6958.14,2.78,elephant
4855.66,3.46,elephant
0.25,0.14,mouse
5360.42,2.50,elephant
5618.32,3.66,elephant
6550.70,3.00,elephant
5173.51,3.76,elephant
4868.43,3.69,elephant
5639.71,2.82,elephant
6722.00,2.92,elephant
0.70,0.18,mouse
0.51,0.09,mouse
0.34,0.19,mouse
6394.37,3.10,elephant
5387.42,3.99,elephant
0.72,0.15,mouse
4872.70,3.30,elephant
0.50,0.13,mouse
4199.10,3.42,elephant
6986.07,2.60,elephant
0.20,0.08,mouse
6236.48,3.87,elephant
5537.82,3.95,elephant
0.43,0.14,mouse
0.57,0.09,mouse
0.61,0.16,mouse
0.50,0.10,mouse
0.65,0.15,mouse
4417.72,3.50,elephant
0.43,0.18,mouse
0.36,0.10,mouse
4538.74,3.77,elephant
0.78,0.07,mouse
0.07,0.12,mouse
0.23,0.18,mouse
0.37,0.10,mouse
5741.20,2.61,elephant
6230.02,3.21,elephant
0.14,0.12,mouse
5988.72,2.85,elephant
0.76,0.18,mouse
0.71,0.12,mouse
0.10,0.14,mouse
4200.84,3.67,elephant
6487.29,3.99,elephant
0.43,0.14,mouse
4698.66,3.23,elephant
5169.64,3.00,elephant
0.27,0.12,mouse
0.29,0.14,mouse
6200.37,3.19,elephant
5552.34,3.22,elephant
0.31,0.13,mouse
6193.17,3.18,elephant
4414.31,2.89,elephant
0.51,0.19,mouse
0.41,0.08,mouse
0.24,0.17,mouse
0.76,0.08,mouse
6972.97,2.66,elephant
0.52,0.18,mouse
0.36,0.17,mouse
0.19,0.08,mouse
0.25,0.17,mouse
5468.01,3.15,elephant
0.06,0.14,mouse
5262.19,2.64,elephant
0.40,0.12,mouse
4853.24,2.86,elephant
0.33,0.19,mouse
0.48,0.07,mouse
6272.56,2.91,elephant
5661.25,3.83,elephant
6987.03,2.67,elephant
5554.18,3.16,elephant
6417.86,2.98,elephant
5016.46,2.91,elephant
5519.73,2.99,elephant
6627.53,3.00,elephant
5759.95,3.81,elephant
6617.87,3.36,elephant
0.75,0.09,mouse
5119.89,2.55,elephant
4822.70,2.71,elephant
6886.54,3.36,elephant
0.09,0.08,mouse
0.73,0.19,mouse
5140.44,3.61,elephant
0.48,0.16,mouse
5016.76,2.87,elephant
0.34,0.19,mouse
5784.87,3.75,elephant
4168.30,3.99,elephant
5848.80,3.61,elephant
5420.41,3.60,elephant
0.36,0.07,mouse
0.50,0.15,mouse
6827.73,3.08,elephant
4315.69,3.87,elephant
5418.49,3.93,elephant
0.09,0.15,mouse
0.38,0.12,mouse
0.62,0.15,mouse
0.52,0.18,mouse
4668.00,3.68,elephant
5570.71,2.61,elephant
0.64,0.13,mouse
5855.19,3.95,elephant
6828.88,2.75,elephant
5118.41,3.66,elephant
0.13,0.19,mouse
5684.03,3.47,elephant
6709.17,3.02,elephant
4988.41,3.65,elephant
4185.13,3.11,elephant
5839.80,2.66,elephant
5667.67,2.94,elephant
4435.57,3.67,elephant
6287.64,3.44,elephant
0.69,0.08,mouse
0.14,0.16,mouse
6754.10,2.70,elephant
6639.33,3.45,elephant
6318.77,3.38,elephant
4323.84,3.46,elephant
5860.84,3.12,elephant
0.20,0.18,mouse
0.40,0.16,mouse
0.36,0.14,mouse
0.47,0.16,mouse
4127.79,3.18,elephant
0.44,0.16,mouse
0.74,0.14,mouse
5279.98,3.73,elephant
0.65,0.09,mouse
4292.02,2.99,elephant
0.51,0.13,mouse
4426.21,3.36,elephant
6822.14,3.79,elephant
0.26,0.18,mouse
0.22,0.16,mouse
0.80,0.11,mouse
0.13,0.17,mouse
0.06,0.14,mouse
6569.81,3.06,elephant
0.72,0.12,mouse
4541.63,2.95,elephant
6981.08,2.85,elephant
4763.80,2.76,elephant
6489.54,3.69,elephant
6872.26,3.74,elephant
4417.53,2.88,elephant
0.61,0.20,mouse
0.59,0.11,mouse
6214.84,3.26,elephant
0.53,0.08,mouse
0.33,0.11,mouse
0.65,0.09,mouse
6713.73,3.18,elephant
0.30,0.11,mouse
4120.75,3.23,elephant
0.18,0.11,mouse
0.06,0.13,mouse
0.08,0.08,mouse
5922.66,3.09,elephant
5926.26,3.36,elephant
0.63,0.16,mouse
6599.73,2.60,elephant
6648.68,2.62,elephant
4771.56,3.89,elephant
5406.59,3.74,elephant
5742.82,2.63,elephant
6516.77,3.02,elephant
0.69,0.17,mouse
4924.89,3.91,elephant
0.19,0.18,mouse
0.29,0.10,mouse
5702.76,3.44,elephant
6164.70,3.11,elephant
0.46,0.11,mouse
0.43,0.07,mouse
0.69,0.09,mouse
0.08,0.12,mouse
0.31,0.18,mouse
0.20,0.11,mouse
0.33,0.11,mouse
4893.44,3.45,elephant
5068.50,2.90,elephant
4544.63,3.00,elephant
0.38,0.11,mouse
5936.24,3.02,elephant
0.07,0.10,mouse
6525.76,2.74,elephant
0.25,0.10,mouse
0.20,0.19,mouse
6655.28,2.63,elephant
6411.12,3.90,elephant
0.14,0.14,mouse
0.14,0.09,mouse
4446.71,3.95,elephant
4286.68,3.32,elephant
0.40,0.14,mouse
0.66,0.10,mouse
0.79,0.08,mouse
4954.38,3.40,elephant
6104.61,3.24,elephant
5304.80,3.74,elephant
5744.94,3.10,elephant
0.05,0.18,mouse
4582.61,3.50,elephant
0.30,0.15,mouse
5475.06,3.26,elephant
6111.22,3.06,elephant
5158.04,2.67,elephant
0.40,0.20,mouse
0.46,0.16,mouse
5805.49,3.92,elephant
0.39,0.07,mouse
0.43,0.12,mouse
0.56,0.14,mouse
0.55,0.15,mouse
6479.13,3.34,elephant
4993.01,3.07,elephant
0.54,0.17,mouse
0.33,0.13,mouse
0.28,0.11,mouse
0.08,0.07,mouse
4501.62,3.22,elephant
0.65,0.14,mouse
5415.72,3.65,elephant
0.34,0.12,mouse
0.60,0.14,mouse
6011.10,3.07,elephant
0.72,0.07,mouse
0.74,0.10,mouse
6715.07,3.57,elephant
6774.00,2.89,elephant
5578.33,3.02,elephant
0.30,0.13,mouse
4174.86,3.60,elephant
0.12,0.12,mouse
5103.34,2.64,elephant
0.51,0.11,mouse
6138.15,3.82,elephant
0.69,0.18,mouse
0.33,0.18,mouse
6397.49,2.54,elephant
0.26,0.19,mouse
0.31,0.17,mouse
5001.07,2.67,elephant
6473.15,3.93,elephant
0.21,0.18,mouse
0.38,0.17,mouse
5373.35,3.89,elephant
5094.90,3.44,elephant
4759.63,2.56,elephant
0.30,0.09,mouse
0.18,0.11,mouse
4597.06,2.74,elephant
4466.42,2.60,elephant
5923.32,2.62,elephant
5952.98,2.96,elephant
6632.63,2.78,elephant
0.25,0.14,mouse
0.40,0.15,mouse
0.59,0.19,mouse
4169.68,3.26,elephant
0.58,0.19,mouse
6368.84,3.65,elephant
6019.47,3.82,elephant
4585.10,3.93,elephant
0.21,0.11,mouse
0.57,0.16,mouse
0.66,0.08,mouse
6026.08,2.59,elephant
4215.57,3.01,elephant
0.67,0.14,mouse
0.64,0.12,mouse
4308.53,3.90,elephant
0.77,0.20,mouse
6472.53,3.53,elephant
6604.27,3.95,elephant
0.65,0.14,mouse
0.53,0.18,mouse
6624.57,2.89,elephant
5249.44,2.59,elephant
5728.79,2.99,elephant
0.26,0.19,mouse
0.30,0.15,mouse
5181.04,3.99,elephant
6227.56,2.62,elephant
0.11,0.08,mouse
0.44,0.12,mouse
4206.48,2.70,elephant
0.44,0.07,mouse
0.70,0.11,mouse
5440.17,3.28,elephant
5808.90,2.82,elephant
4558.76,3.81,elephant
5332.84,3.44,elephant
0.54,0.10,mouse
5795.72,3.12,elephant
0.27,0.07,mouse
5782.52,3.83,elephant
0.16,0.11,mouse
0.74,0.13,mouse
5306.10,2.98,elephant
5740.94,2.88,elephant
0.25,0.12,mouse
0.60,0.20,mouse
0.26,0.08,mouse
6365.62,3.26,elephant
6387.40,2.62,elephant
0.20,0.08,mouse
0.79,0.13,mouse
4565.44,3.70,elephant
0.62,0.13,mouse
4950.49,2.86,elephant
0.64,0.11,mouse
4959.42,2.80,elephant
4683.41,2.77,elephant
4049.22,3.07,elephant
4069.10,3.89,elephant
4537.64,3.00,elephant
4840.04,3.53,elephant
0.70,0.15,mouse
4033.99,3.12,elephant
4469.11,3.37,elephant
4972.75,3.38,elephant
6705.76,3.62,elephant
6610.73,2.63,elephant
0.26,0.11,mouse
6898.42,3.34,elephant
0.35,0.12,mouse
0.21,0.18,mouse
4387.23,3.31,elephant
0.30,0.20,mouse
4608.70,3.56,elephant
6172.83,3.28,elephant
4126.65,2.94,elephant
0.24,0.16,mouse
0.06,0.07,mouse
6251.51,3.50,elephant
0.48,0.20,mouse
0.74,0.10,mouse
0.65,0.15,mouse
0.63,0.14,mouse
0.15,0.20,mouse
4451.24,3.70,elephant
0.48,0.12,mouse
0.56,0.10,mouse
4141.80,3.35,elephant
0.66,0.14,mouse
6912.83,3.11,elephant
4792.39,2.51,elephant
0.73,0.15,mouse
0.42,0.10,mouse
0.11,0.17,mouse
0.66,0.07,mouse
0.26,0.10,mouse
0.21,0.11,mouse
5488.77,2.91,elephant
0.11,0.08,mouse
4661.34,3.78,elephant
0.45,0.15,mouse
0.36,0.15,mouse
4963.73,3.90,elephant
0.57,0.15,mouse
0.59,0.17,mouse
0.42,0.09,mouse
0.28,0.12,mouse
5127.43,2.51,elephant
6708.06,3.45,elephant
0.18,0.12,mouse
4987.89,3.46,elephant
0.26,0.16,mouse
6887.50,3.38,elephant
0.35,0.08,mouse
4906.36,3.55,elephant
0.18,0.19,mouse
0.21,0.09,mouse
0.46,0.11,mouse
6771.97,3.43,elephant
5039.00,3.05,elephant
0.52,0.09,mouse
0.79,0.09,mouse
6583.01,3.97,elephant
0.26,0.17,mouse
0.19,0.16,mouse
5366.62,3.00,elephant
5105.76,3.79,elephant
6016.33,2.70,elephant
0.65,0.17,mouse
4363.46,2.96,elephant
0.54,0.11,mouse
4596.65,3.93,elephant
0.06,0.17,mouse
5137.88,2.97,elephant
0.74,0.19,mouse
0.58,0.16,mouse
0.11,0.19,mouse
0.07,0.07,mouse
6899.88,3.00,elephant
6625.26,3.50,elephant
5700.73,3.95,elephant
6128.51,3.82,elephant
5818.48,2.86,elephant
0.68,0.12,mouse
0.67,0.14,mouse
0.55,0.10,mouse
0.49,0.12,mouse
0.27,0.18,mouse
0.09,0.08,mouse
0.60,0.13,mouse
0.48,0.10,mouse
6947.54,3.47,elephant
5504.53,2.76,elephant
0.44,0.10,mouse
0.58,0.20,mouse
0.53,0.11,mouse
4890.50,3.41,elephant
0.60,0.08,mouse
0.09,0.14,mouse
0.63,0.13,mouse
0.80,0.11,mouse
4435.68,3.72,elephant
6116.10,3.55,elephant
0.13,0.15,mouse
0.42,0.10,mouse
0.52,0.15,mouse
0.48,0.11,mouse
5429.41,2.95,elephant
4895.53,2.61,elephant
5854.26,3.58,elephant
6081.90,3.15,elephant
6271.55,3.45,elephant
4834.53,3.24,elephant
0.48,0.15,mouse
5720.37,2.64,elephant
6544.30,3.88,elephant
6427.92,3.13,elephant
0.10,0.07,mouse
5205.81,3.08,elephant
5000.11,3.68,elephant
0.57,0.15,mouse
0.06,0.12,mouse
4937.84,2.95,elephant
4780.76,2.51,elephant
6919.27,2.91,elephant
0.37,0.19,mouse
6241.57,3.67,elephant
5379.92,3.37,elephant
0.19,0.19,mouse
4803.88,2.51,elephant
4172.18,3.59,elephant
0.37,0.18,mouse
5073.35,2.69,elephant
5238.72,2.67,elephant
0.21,0.07,mouse
5513.34,3.15,elephant
0.50,0.10,mouse
0.56,0.13,mouse
4531.07,3.01,elephant
4861.44,2.68,elephant
0.37,0.14,mouse
0.11,0.14,mouse
5933.86,2.62,elephant
6593.75,2.52,elephant
6320.64,3.03,elephant
4876.19,2.72,elephant
0.10,0.17,mouse
0.09,0.11,mouse
0.70,0.10,mouse
6352.72,2.64,elephant
0.27,0.16,mouse
0.09,0.17,mouse
4348.03,2.85,elephant
6519.39,3.15,elephant
4951.26,3.83,elephant
0.27,0.20,mouse
0.75,0.13,mouse
0.14,0.07,mouse
0.53,0.20,mouse
0.29,0.07,mouse
0.48,0.18,mouse
5272.10,3.47,elephant
0.12,0.16,mouse
0.46,0.18,mouse
5581.57,3.50,elephant
5229.57,2.50,elephant
6671.70,2.99,elephant
6242.91,3.96,elephant
5446.17,3.12,elephant
5376.61,2.69,elephant
0.31,0.17,mouse
0.51,0.10,mouse
5984.97,3.56,elephant
0.09,0.08,mouse
0.47,0.10,mouse
0.50,0.11,mouse
4057.51,3.01,elephant
0.35,0.17,mouse
6436.78,3.53,elephant
0.49,0.18,mouse
0.63,0.12,mouse
0.46,0.17,mouse
4330.83,3.93,elephant
4711.55,3.17,elephant
4742.36,3.62,elephant
0.63,0.17,mouse
0.22,0.09,mouse
0.74,0.09,mouse
6550.64,3.36,elephant
0.60,0.15,mouse
5602.08,3.98,elephant
6974.52,3.79,elephant
6304.16,3.48,elephant
6831.69,3.24,elephant
5308.27,3.82,elephant
5683.59,3.88,elephant
4670.72,3.78,elephant
4496.77,2.85,elephant
0.73,0.15,mouse
4750.90,3.37,elephant
0.39,0.07,mouse
5211.15,2.71,elephant
4033.22,2.93,elephant
0.53,0.07,mouse
4392.21,3.36,elephant
6389.61,2.89,elephant
0.26,0.11,mouse
0.35,0.09,mouse
4764.57,3.18,elephant
4388.43,3.59,elephant
4000.65,3.36,elephant
5027.01,3.19,elephant
0.07,0.09,mouse
0.36,0.07,mouse
4392.19,2.90,elephant
5517.05,3.83,elephant
0.21,0.15,mouse
0.33,0.13,mouse
0.43,0.15,mouse
0.52,0.16,mouse
0.53,0.14,mouse
4157.47,3.41,elephant
0.06,0.17,mouse
0.47,0.14,mouse
6683.83,3.37,elephant
0.74,0.07,mouse
0.37,0.07,mouse
6357.80,3.22,elephant
0.33,0.07,mouse
0.47,0.17,mouse
0.29,0.09,mouse
5864.04,2.67,elephant
5510.88,3.53,elephant
4623.22,2.80,elephant
0.60,0.12,mouse
5437.64,3.92,elephant
6479.22,3.89,elephant
5702.29,3.98,elephant
0.19,0.08,mouse
5362.98,2.94,elephant
4441.93,2.73,elephant
0.40,0.07,mouse
5965.05,3.08,elephant
0.58,0.08,mouse
5757.08,2.72,elephant
0.37,0.15,mouse
4109.16,3.05,elephant
4397.12,3.21,elephant
4154.93,3.76,elephant
4694.49,2.91,elephant
6667.29,2.96,elephant
0.78,0.12,mouse
5668.71,3.08,elephant
0.39,0.19,mouse
0.22,0.10,mouse
0.62,0.11,mouse
6099.85,2.91,elephant
6609.36,3.29,elephant
0.71,0.16,mouse
0.33,0.16,mouse
6973.84,4.00,elephant
0.15,0.16,mouse
5695.66,2.59,elephant
4689.76,2.79,elephant
0.76,0.13,mouse
0.35,0.15,mouse
6389.89,3.41,elephant
0.55,0.08,mouse
0.76,0.13,mouse
0.79,0.14,mouse
4656.66,2.52,elephant
4697.80,2.79,elephant
4285.77,3.56,elephant
6133.14,3.26,elephant
0.50,0.10,mouse
6090.13,3.06,elephant
5048.16,3.66,elephant
4664.88,2.65,elephant
5753.76,3.20,elephant
5365.73,3.25,elephant
0.14,0.07,mouse
6655.89,2.89,elephant
0.22,0.17,mouse
4077.55,3.70,elephant
6553.21,3.40,elephant
0.57,0.19,mouse
4709.74,2.62,elephant
4125.01,3.35,elephant
0.10,0.11,mouse
0.22,0.16,mouse
0.44,0.18,mouse
5047.33,3.08,elephant
6879.84,2.97,elephant
0.17,0.15,mouse
5541.20,3.52,elephant
4351.11,3.50,elephant
0.13,0.16,mouse
0.11,0.17,mouse
4477.41,3.91,elephant
5896.60,3.89,elephant
6545.14,2.90,elephant
6233.19,2.62,elephant
5528.37,3.35,elephant
4037.44,3.86,elephant
4972.54,3.99,elephant
4463.46,3.41,elephant
6271.23,2.77,elephant
0.59,0.16,mouse
4971.30,3.81,elephant
5480.34,3.84,elephant
0.08,0.16,mouse
0.37,0.11,mouse
0.08,0.11,mouse
4877.14,2.62,elephant
0.05,0.13,mouse
0.46,0.14,mouse
5250.72,3.03,elephant
6406.85,3.16,elephant
4808.12,2.62,elephant
0.66,0.15,mouse
6664.85,3.19,elephant
0.48,0.11,mouse
6743.98,2.82,elephant
4867.33,2.51,elephant
0.17,0.14,mouse
4878.06,2.95,elephant
4335.40,2.53,elephant
5032.01,2.81,elephant
0.55,0.10,mouse
0.28,0.16,mouse
6591.46,3.96,elephant
4577.51,2.53,elephant
4251.84,3.16,elephant
5007.89,3.68,elephant
0.48,0.08,mouse
0.64,0.19,mouse
4608.30,3.40,elephant
5695.02,3.06,elephant
0.21,0.15,mouse
6478.48,2.67,elephant
0.44,0.11,mouse
0.50,0.16,mouse
6908.15,3.28,elephant
5453.39,2.78,elephant
4636.46,3.47,elephant
5046.69,3.91,elephant
4525.51,2.73,elephant
0.42,0.10,mouse
0.77,0.08,mouse
0.31,0.19,mouse
5389.91,3.33,elephant
0.80,0.19,mouse
0.25,0.12,mouse
5397.13,2.75,elephant
0.73,0.12,mouse
0.07,0.17,mouse
6704.59,3.06,elephant
6966.47,3.34,elephant
6659.93,3.49,elephant
5261.48,2.64,elephant
0.57,0.13,mouse
5517.75,3.96,elephant
4055.31,3.30,elephant
0.07,0.11,mouse
0.18,0.19,mouse
0.17,0.16,mouse
5824.19,3.01,elephant
4865.36,3.49,elephant
4940.95,3.80,elephant
0.21,0.16,mouse
0.41,0.10,mouse
0.58,0.12,mouse
5499.44,2.52,elephant
5448.25,3.71,elephant
4207.68,3.08,elephant
0.69,0.14,mouse
0.06,0.14,mouse
5348.87,3.19,elephant
0.19,0.10,mouse
5487.56,2.63,elephant
0.79,0.07,mouse
0.76,0.14,mouse
4773.37,3.19,elephant
0.28,0.20,mouse
4022.04,3.77,elephant
0.53,0.07,mouse
5143.95,3.92,elephant
0.24,0.08,mouse
5289.54,2.58,elephant
4313.70,2.94,elephant
5160.96,3.17,elephant
4874.76,3.32,elephant
0.71,0.15,mouse
0.37,0.18,mouse
6306.19,3.96,elephant
4181.47,2.77,elephant
0.78,0.11,mouse
6882.83,3.26,elephant
0.29,0.11,mouse
0.23,0.08,mouse
6683.06,2.80,elephant
6687.93,2.79,elephant
0.70,0.10,mouse
0.30,0.07,mouse
0.14,0.15,mouse
6909.59,3.79,elephant
6868.46,2.60,elephant
0.14,0.17,mouse
4948.31,2.75,elephant
4434.95,3.40,elephant
6341.79,2.56,elephant
4028.63,3.62,elephant
4589.77,2.89,elephant
0.66,0.12,mouse
0.08,0.12,mouse
6435.36,3.33,elephant
5053.20,3.66,elephant
5526.05,2.52,elephant
5077.71,3.83,elephant
0.66,0.12,mouse
6209.93,3.71,elephant
0.76,0.12,mouse
4345.43,2.69,elephant
0.60,0.09,mouse
0.73,0.10,mouse
6280.47,2.89,elephant
4883.11,3.64,elephant
0.16,0.11,mouse
5995.45,3.34,elephant
5473.70,3.56,elephant
0.31,0.15,mouse
0.38,0.16,mouse
6266.72,3.19,elephant
0.76,0.16,mouse
4081.26,3.40,elephant
4611.05,3.41,elephant
0.54,0.08,mouse
0.65,0.17,mouse
0.64,0.12,mouse
0.38,0.18,mouse
6977.87,3.44,elephant
4816.45,2.54,elephant
0.25,0.12,mouse
4771.82,3.63,elephant
0.15,0.09,mouse
0.51,0.15,mouse
6442.53,3.29,elephant
4404.26,3.20,elephant
5266.84,3.63,elephant
6245.84,3.61,elephant
4118.90,3.12,elephant
5095.57,3.99,elephant
5680.53,2.60,elephant
0.41,0.16,mouse
5931.61,2.83,elephant
0.68,0.16,mouse
0.15,0.18,mouse
6783.62,3.28,elephant
5578.82,3.63,elephant
4041.98,3.73,elephant
0.10,0.18,mouse
4346.28,2.73,elephant
5259.24,3.19,elephant
5486.28,3.05,elephant
4203.78,3.22,elephant
6702.63,3.84,elephant
5248.04,3.98,elephant
4731.77,3.12,elephant
6423.01,3.48,elephant
0.49,0.13,mouse
0.67,0.20,mouse
6140.70,3.90,elephant
0.14,0.19,mouse
0.26,0.18,mouse
0.70,0.07,mouse
4330.10,2.57,elephant
4087.80,3.71,elephant
0.77,0.15,mouse
0.31,0.09,mouse
5057.73,2.53,elephant
4001.59,3.47,elephant
0.20,0.18,mouse
5201.21,3.41,elephant
0.78,0.19,mouse
0.20,0.11,mouse
6343.24,3.33,elephant
0.07,0.12,mouse
0.65,0.09,mouse
0.30,0.12,mouse
6624.71,3.01,elephant
6708.36,3.51,elephant
0.46,0.12,mouse
0.67,0.13,mouse
0.52,0.11,mouse
0.54,0.17,mouse
6173.31,2.66,elephant
0.57,0.19,mouse
4116.77,3.34,elephant
0.06,0.19,mouse
6384.96,3.31,elephant
4140.19,3.51,elephant
6613.80,3.54,elephant
0.31,0.12,mouse
5002.94,3.85,elephant
4120.99,3.94,elephant
0.55,0.15,mouse
6759.82,2.63,elephant
0.47,0.08,mouse
0.07,0.09,mouse
0.41,0.07,mouse
0.23,0.19,mouse
6468.65,3.05,elephant
6411.47,2.53,elephant
0.32,0.11,mouse
6668.00,2.85,elephant
0.12,0.07,mouse
5227.46,3.09,elephant
5490.50,3.25,elephant
5271.54,3.37,elephant
0.46,0.08,mouse
4041.21,3.28,elephant
6256.46,3.13,elephant
0.45,0.10,mouse
4530.67,3.71,elephant
4532.55,2.51,elephant
0.66,0.14,mouse
0.34,0.17,mouse
0.45,0.19,mouse
0.19,0.14,mouse
0.31,0.11,mouse
4837.29,3.54,elephant
0.79,0.15,mouse
5918.35,3.24,elephant
5610.41,3.99,elephant
0.67,0.08,mouse
6855.25,3.94,elephant
6523.32,3.49,elephant
4093.56,3.59,elephant
0.60,0.11,mouse
0.42,0.09,mouse
6751.06,3.53,elephant
0.49,0.08,mouse
